domain,english,igbo
daily_activities,I wake up early.,Ana m eteta n'isi ụtụtụ.
daily_activities,I wake up at six o'clock.,Ana m eteta n'elekere isii.
daily_activities,I get out of bed.,Ana m esi n'àkwà bilie.
daily_activities,I make my bed.,Ana m edozi ihe ndina m.
daily_activities,I open the window.,Ana m emepe windo.
daily_activities,I close the window.,Ana m emechi windo.
daily_activities,I brush my teeth.,Ana m asa ezé m.
daily_activities,I wash my face.,Ana m asa ihu m.
daily_activities,I take a bath.,Ana m asa ahụ.
daily_activities,I take a shower.,Ana m asa ahụ.
daily_activities,I comb my hair.,Ana m asacha ntutu m.
daily_activities,I get dressed.,Ana m eyi uwe.
daily_activities,I wear my shoes.,Ana m eyi akpụkpọ ụkwụ m.
daily_activities,I prepare breakfast.,Ana m akwadebe nri ụtụtụ.
daily_activities,I eat breakfast.,Ana m eri nri ụtụtụ.
daily_activities,I drink tea.,Ana m aṅụ tii.
daily_activities,I drink water.,Ana m aṅụ mmiri.
daily_activities,I leave the house.,Ana m apụ n'ụlọ.
daily_activities,I lock the door.,Ana m akpọchi ụzọ.
daily_activities,I go to school.,Ana m aga ụlọ akwụkwọ.
daily_activities,I go to work.,Ana m aga ọrụ.
daily_activities,I walk to school.,Ana m eje ije gaa ụlọ akwụkwọ.
daily_activities,I take a bus to work.,Ana m eji bọs aga ọrụ.
daily_activities,I arrive at school.,Ana m erute ụlọ akwụkwọ.
daily_activities,I arrive at work.,Ana m erute ọrụ.
daily_activities,I attend a class.,Ana m aga klaasị.
daily_activities,I study every morning.,Ana m amụ ihe kwa ụtụtụ.
daily_activities,I read a book.,Ana m agụ akwụkwọ.
daily_activities,I write in my notebook.,Ana m ede n'akwụkwọ ndetu m.
daily_activities,I do my homework.,Ana m eme ihe omume ụlọ akwụkwọ m.
daily_activities,I answer the question.,Ana m aza ajụjụ ahụ.
daily_activities,I ask a question.,Ana m ajụ ajụjụ.
daily_activities,I listen to the teacher.,Ana m ege onye nkuzi ntị.
daily_activities,I use my computer.,Ana m eji kọmputa m.
daily_activities,I check my phone.,Ana m ele ekwentị m.
daily_activities,I send a message.,Ana m eziga ozi.
daily_activities,I make a phone call.,Ana m akpọ oku.
daily_activities,I talk to my friend.,Ana m agwa enyi m okwu.
daily_activities,I meet my friend.,Ana m ezute enyi m.
daily_activities,I go to the market.,Ana m aga ahịa.
daily_activities,I buy food.,Ana m azụta nri.
daily_activities,I buy clothes.,Ana m azụta uwe.
daily_activities,I return home.,Ana m alaghachi n'ụlọ.
daily_activities,I prepare lunch.,Ana m akwadebe nri ehihie.
daily_activities,I eat lunch.,Ana m eri nri ehihie.
daily_activities,I wash the dishes.,Ana m asa efere.
daily_activities,I clean the kitchen.,Ana m ehicha kichin.
daily_activities,I sweep the floor.,Ana m azacha ala.
daily_activities,I mop the floor.,Ana m eji mop asa ala.
daily_activities,I clean the house.,Ana m ehicha ụlọ.
daily_activities,I wash my clothes.,Ana m asa uwe m.
daily_activities,I dry my clothes.,Ana m akpọọ uwe m.
daily_activities,I fold my clothes.,Ana m apịaji uwe m.
daily_activities,I cook dinner.,Ana m esi nri abalị.
daily_activities,I eat dinner.,Ana m eri nri abalị.
daily_activities,I drink water before bed.,Ana m aṅụ mmiri tupu m lakpuo ụra.
daily_activities,I watch television.,Ana m ekiri telivishọn.
daily_activities,I listen to music.,Ana m ege egwu ntị.
daily_activities,I read the news.,Ana m agụ akụkọ.
daily_activities,I use the internet.,Ana m eji ịntanetị.
daily_activities,I exercise every day.,Ana m emega ahụ kwa ụbọchị.
daily_activities,I go for a walk.,Ana m eje ije.
daily_activities,I play football.,Ana m agba bọl.
daily_activities,I rest in the afternoon.,Ana m ezu ike n'ehihie.
daily_activities,I visit my friend.,Ana m aga ileta enyi m.
daily_activities,I visit my family.,Ana m aga ileta ezinụlọ m.
daily_activities,I help my mother.,Ana m enyere nne m aka.
daily_activities,I help my father.,Ana m enyere nna m aka.
daily_activities,I help my brother.,Ana m enyere nwanne m nwoke aka.
daily_activities,I help my sister.,Ana m enyere nwanne m nwanyị aka.
daily_activities,I talk with my family.,Ana m agwa ezinụlọ m okwu.
daily_activities,We eat together.,Anyị na-erikọ nri ọnụ.
daily_activities,We work together.,Anyị na-arụkọ ọrụ ọnụ.
daily_activities,I wash my hands.,Ana m asa aka m.
daily_activities,I wash my clothes.,Ana m asa uwe m.
daily_activities,I clean my shoes.,Ana m ehicha akpụkpọ ụkwụ m.
daily_activities,I organize my room.,Ana m edozi ụlọ m.
daily_activities,I arrange my books.,Ana m edozi akwụkwọ m.
daily_activities,I prepare for tomorrow.,Ana m akwadebe maka echi.
daily_activities,I set my alarm.,Ana m edozi elekere mkpu m.
daily_activities,I charge my phone.,Ana m akwụ ụgwọ ekwentị m.
daily_activities,I check the time.,Ana m ele oge.
daily_activities,I go to sleep early.,Ana m alaba n'isi ụtụtụ.
daily_activities,I go to bed late.,Ana m alaba n'oge.
daily_activities,I am tired.,Ike agwụla m.
daily_activities,I am busy.,Ana m arụsi ọrụ ike.
daily_activities,I am free today.,Enwere m ohere taa.
daily_activities,I am going home.,Ana m ala n'ụlọ.
daily_activities,I am waiting for the bus.,Ana m eche bọs.
daily_activities,I am waiting for my friend.,Ana m eche enyi m.
daily_activities,I am preparing for school.,Ana m akwadebe maka ụlọ akwụkwọ.
daily_activities,I am preparing for work.,Ana m akwadebe maka ọrụ.
daily_activities,I forgot my keys.,Echefuru m igodo m.
daily_activities,I found my keys.,Achọtara m igodo m.
daily_activities,I lost my phone.,Echefuru m ekwentị m.
daily_activities,I found my phone.,Achọtara m ekwentị m.
daily_activities,I opened the door.,Emepere m ụzọ.
daily_activities,I closed the door.,Emechiri m ụzọ.
daily_activities,I turned on the light.,Agbanyere m ọkụ.
daily_activities,I turned off the light.,Agbanyụrụ m ọkụ.
daily_activities,The day is over.,Ụbọchị agwụla.
daily_activities,Tomorrow is a new day.,Echi bụ ụbọchị ọhụrụ.
daily_activities,I have a busy day.,Enwere m ụbọchị ọrụ juru.
daily_activities,I have many things to do.,Enwere m ọtụtụ ihe m ga-eme.
daily_activities,I finished my work.,Emechala m ọrụ m.
daily_activities,I finished my homework.,Emechala m ihe omume ụlọ akwụkwọ m.
daily_activities,I am ready for the day.,Adịla m njikere maka ụbọchị ahụ.
daily_activities,Today was a good day.,Taa bụ ụbọchị ọma.
daily_activities,I had a busy morning.,Ụtụtụ m jupụtara n'ọrụ.
daily_activities,I had a good afternoon.,Ehihie m dị mma.
daily_activities,I had a peaceful evening.,Mgbede m dị jụụ.
daily_activities,Good night.,Ka chi foo.
