domain,english,igbo
technology,I use a computer.,Ana m eji kọmputa arụ ọrụ.
technology,I am using a computer.,Ana m eji kọmputa arụ ọrụ ugbu a.
technology,The computer is working.,Kọmputa ahụ na-arụ ọrụ.
technology,The computer is not working.,Kọmputa ahụ anaghị arụ ọrụ.
technology,The computer is fast.,Kọmputa ahụ dị ngwa.
technology,The computer is slow.,Kọmputa ahụ na-eji nwayọ arụ ọrụ.
technology,The computer is new.,Kọmputa ahụ bụ nke ọhụrụ.
technology,The computer is old.,Kọmputa ahụ bụ nke ochie.
technology,Turn on the computer.,Gbanye kọmputa ahụ.
technology,Turn off the computer.,Gbanyụọ kọmputa ahụ.
technology,Restart the computer.,Malitegharịa kọmputa ahụ.
technology,The computer needs an update.,Kọmputa ahụ chọrọ mmelite.
technology,The screen is bright.,Ihuenyo ahụ na-enwu nke ọma.
technology,The screen is dark.,Ihuenyo ahụ gbara ọchịchịrị.
technology,The screen is broken.,Ihuenyo ahụ agbajiela.
technology,The keyboard is on the table.,Ahụigodo ahụ dị n'elu tebụl.
technology,The mouse is next to the keyboard.,Òké ahụ dị n'akụkụ ahụigodo ahụ.
technology,I am typing a message.,Ana m ede ozi.
technology,He is typing on the keyboard.,Ọ na-eji ahụigodo ede ihe.
technology,She is using the mouse.,Ọ na-eji òké arụ ọrụ.
technology,Click the button.,Pịa bọtịnụ ahụ.
technology,Click the link.,Pịa njikọ ahụ.
technology,Open the file.,Mepee faịlụ ahụ.
technology,Close the file.,Mechie faịlụ ahụ.
technology,Save the file.,Chekwaa faịlụ ahụ.
technology,Delete the file.,Hichapụ faịlụ ahụ.
technology,The file is saved.,A chekwala faịlụ ahụ.
technology,The file is missing.,Faịlụ ahụ efuola.
technology,I created a new file.,Emepụtara m faịlụ ọhụrụ.
technology,The document is ready.,Akwụkwọ ahụ adịla njikere.
technology,Print the document.,Bipụta akwụkwọ ahụ.
technology,The printer is working.,Igwe nbipụta ahụ na-arụ ọrụ.
technology,The printer is not working.,Igwe nbipụta ahụ anaghị arụ ọrụ.
technology,The printer has no paper.,Igwe nbipụta ahụ enweghị akwụkwọ.
technology,I have a mobile phone.,Enwere m ekwentị mkpanaaka.
technology,My phone is ringing.,Ekwentị m na-ada.
