domain,english,igbo
health,I am feeling well.,Ahụ dị m mma.
health,I am not feeling well.,Ahụ adịghị m mma.
health,I am sick.,A na-arịa m ọrịa.
health,I feel tired.,Ike gwụrụ m.
health,I feel weak.,Adịghị m ike.
health,I have a headache.,Isi na-afụ m.
health,I have a stomach ache.,Afọ na-afụ m.
health,I have a toothache.,Eze na-afụ m.
health,I have a sore throat.,Akpịrị na-afụ m.
health,I have a cough.,Ụkwara na-agụ m.
health,I have a cold.,Oyi na-arịa m.
health,I have a fever.,Ahụ ọkụ na-agba m.
health,I have a headache today.,Isi na-afụ m taa.
health,My body is hot.,Ahụ m dị ọkụ.
health,My body is cold.,Ahụ m dị jụụ.
health,I feel dizzy.,Isi na-atụgharị m.
health,I feel better now.,Ahụ adịla m mma ugbu a.
health,I feel worse today.,Ahụ na-adị m njọ taa.
health,She is feeling sick.,Ahụ adịghị ya mma.
health,He is feeling tired.,Ike gwụrụ ya.
health,The child is sick.,Nwa ahụ na-arịa ọrịa.
health,The baby has a fever.,Nwa ọhụrụ ahụ nwere ahụ ọkụ.
health,The patient is resting.,Onye ọrịa ahụ na-ezu ike.
health,The patient needs help.,Onye ọrịa ahụ chọrọ enyemaka.
health,The patient is getting better.,Ahụ onye ọrịa ahụ na-adị mma.
health,The patient is very weak.,Onye ọrịa ahụ adịghị ike nke ukwuu.
health,Call a doctor.,Kpọọ dọkịta.
health,We need to see a doctor.,Anyị kwesịrị ịhụ dọkịta.
health,I went to the hospital.,Agara m ụlọ ọgwụ.
health,She went to the hospital yesterday.,Ọ gara ụlọ ọgwụ ụnyaahụ.
health,He is at the hospital.,Ọ nọ n'ụlọ ọgwụ.
health,The doctor is examining the patient.,Dọkịta na-enyocha onye ọrịa ahụ.
health,The doctor asked me some questions.,Dọkịta jụrụ m ajụjụ ụfọdụ.
health,The nurse helped the patient.,Nọọsụ nyere onye ọrịa ahụ aka.
health,The doctor gave me medicine.,Dọkịta nyere m ọgwụ.
health,I need to take my medicine.,Ọ dị m mkpa ịṅụ ọgwụ m.
health,Take this medicine twice a day.,Ṅụọ ọgwụ a ugboro abụọ kwa ụbọchị.
health,Take the medicine after eating.,Ṅụọ ọgwụ ahụ mgbe i richara nri.
health,Do not forget your medicine.,Echefula ọgwụ gị.
health,The medicine is working.,Ọgwụ ahụ na-arụ ọrụ.
health,The medicine helped me.,Ọgwụ ahụ nyeere m aka.
health,The medicine is finished.,Ọgwụ ahụ agwụla.
health,I bought medicine from the pharmacy.,Azụtara m ọgwụ n'ụlọ ahịa ọgwụ.
health,The pharmacy is open.,Ụlọ ahịa ọgwụ ahụ mepere emepe.
health,The pharmacy is closed.,Ụlọ ahịa ọgwụ ahụ emechiela.
health,The doctor wrote a prescription.,Dọkịta dere akwụkwọ ndenye ọgwụ.
health,The nurse checked my temperature.,Nọọsụ tụrụ okpomọkụ ahụ m.
health,The doctor checked my blood pressure.,Dọkịta tụrụ ọbara mgbali m.
health,The doctor examined my eyes.,Dọkịta nyochara anya m.
health,The doctor examined my ear.,Dọkịta nyochara ntị m.
health,The doctor examined my stomach.,Dọkịta nyochara afọ m.
health,I need a medical examination.,Ọ dị m mkpa ịga nyocha ahụike.
health,The test result is ready.,Nsonaazụ ule ahụ adịla njikere.
health,The blood test was normal.,Nnwale ọbara ahụ dị mma.
health,The doctor took a blood sample.,Dọkịta were ihe nlele ọbara.
health,I need to rest.,Ọ dị m mkpa izu ike.
health,You should sleep more.,Ị kwesịrị ịrahụ ụra karịa.
health,Drink plenty of water.,Ṅụọ mmiri nke ukwuu.
health,Drink clean water.,Ṅụọ mmiri dị ọcha.
health,Eat healthy food.,Rie nri dị mma.
health,Eat more fruits and vegetables.,Rie ọtụtụ mkpụrụ osisi na akwụkwọ nri.
health,Wash your hands before eating.,Saa aka gị tupu ị rie nri.
health,Wash your hands regularly.,Na-asa aka gị mgbe niile.
health,Keep your body clean.,Debe ahụ gị ọcha.
health,Exercise every day.,Na-emega ahụ kwa ụbọchị.
health,Walking is good for your health.,Ije dị mma maka ahụike gị.
health,Regular exercise keeps the body healthy.,Mmega ahụ mgbe niile na-eme ka ahụ dị mma.
health,Healthy food gives the body strength.,Nri dị mma na-enye ahụ ike.
health,Too much sugar is not healthy.,Ọtụtụ shuga adịghị mma maka ahụike.
health,Too much salt is not healthy.,Ọtụtụ nnu adịghị mma maka ahụike.
