domain,english,igbo
education,I am going to school.,Ana m aga ụlọ akwụkwọ.
education,She is a teacher.,Ọ bụ onye nkuzi.
education,He is a student.,Ọ bụ nwa akwụkwọ.
education,The students are in the classroom.,Ụmụ akwụkwọ nọ n'ime klaasị.
education,The teacher entered the classroom.,Onye nkuzi batara n'ime klaasị.
education,The teacher is teaching the students.,Onye nkuzi na-akụziri ụmụ akwụkwọ.
education,The student is reading a book.,Nwa akwụkwọ ahụ na-agụ akwụkwọ.
education,The student is writing a sentence.,Nwa akwụkwọ ahụ na-ede ahịrịokwu.
education,The student opened the book.,Nwa akwụkwọ ahụ meghere akwụkwọ ahụ.
education,The teacher opened the door.,Onye nkuzi meghere ọnụ ụzọ.
education,The lesson has started.,Ihe ọmụmụ amalitela.
education,The lesson is important.,Ihe ọmụmụ ahụ dị mkpa.
education,The class is beginning.,Klaasị na-amalite.
education,The class has ended.,Klaasị agwụla.
education,The students are listening to the teacher.,Ụmụ akwụkwọ na-ege onye nkuzi ntị.
education,The teacher asked a question.,Onye nkuzi jụrụ ajụjụ.
education,The student answered the question.,Nwa akwụkwọ ahụ zara ajụjụ ahụ.
education,The teacher explained the lesson.,Onye nkuzi kọwara ihe ọmụmụ ahụ.
education,I understand the lesson.,Aghọtara m ihe ọmụmụ ahụ.
education,I do not understand the lesson.,Aghọtaghị m ihe ọmụmụ ahụ.
education,She is studying mathematics.,Ọ na-amụ mgbakọ na mwepụ.
education,He is studying English.,Ọ na-amụ Bekee.
education,They are learning Igbo.,Ha na-amụ Igbo.
education,I am learning a new subject.,Ana m amụ isiokwu ọhụrụ.
education,Mathematics is difficult.,Mgbakọ na mwepụ siri ike.
education,English is interesting.,Bekee na-atọ ụtọ.
education,The student likes science.,Nwa akwụkwọ ahụ na-enwe mmasị na sayensị.
education,The teacher teaches history.,Onye nkuzi na-akụzi akụkọ ihe mere eme.
education,The students study geography.,Ụmụ akwụkwọ na-amụ ọdịdị ala.
education,The school teaches many subjects.,Ụlọ akwụkwọ ahụ na-akụzi ọtụtụ isiokwu.
education,I read every morning.,Ana m agụ akwụkwọ kwa ụtụtụ.
education,She studies every evening.,Ọ na-amụ ihe kwa mgbede.
education,He reads a book every day.,Ọ na-agụ akwụkwọ kwa ụbọchị.
education,The students study together.,Ụmụ akwụkwọ na-amụ ihe ọnụ.
education,The teacher works hard.,Onye nkuzi na-arụsi ọrụ ike.
education,The student works hard.,Nwa akwụkwọ ahụ na-arụsi ọrụ ike.
education,The students are preparing for the examination.,Ụmụ akwụkwọ na-akwado maka ule ahụ.
education,The examination starts today.,Ule ahụ na-amalite taa.
education,The examination will start tomorrow.,Ule ahụ ga-amalite echi.
education,The examination was difficult.,Ule ahụ siri ike.
education,The examination was easy.,Ule ahụ dị mfe.
education,The student passed the examination.,Nwa akwụkwọ ahụ gafere ule ahụ.
