domain,english,igbo
business,The business is growing.,Azụmahịa ahụ na-eto eto.
business,The company is successful.,Ụlọ ọrụ ahụ na-aga nke ọma.
business,She owns a small business.,Ọ bụ ya nwe obere azụmahịa.
business,He started a new business.,Ọ malitere azụmahịa ọhụrụ.
business,The shop is open.,Ụlọ ahịa ahụ mepere emepe.
business,The shop is closed.,Ụlọ ahịa ahụ mechiri emechi.
business,The customer entered the shop.,Onye ahịa ahụ banyere n'ụlọ ahịa ahụ.
business,The customer is waiting.,Onye ahịa ahụ na-eche.
business,The customer bought a product.,Onye ahịa ahụ zụtara ngwaahịa.
business,The customer paid for the product.,Onye ahịa ahụ kwụrụ ụgwọ maka ngwaahịa ahụ.
business,The product is available.,Ngwaahịa ahụ dị.
business,The product is not available.,Ngwaahịa ahụ adịghị.
business,The product is expensive.,Ngwaahịa ahụ dị oke ọnụ.
business,The product is cheap.,Ngwaahịa ahụ dị ọnụ ala.
business,The product is good.,Ngwaahịa ahụ dị mma.
business,The product is new.,Ngwaahịa ahụ bụ nke ọhụrụ.
business,The product is popular.,Ngwaahịa ahụ na-ewu ewu.
business,The company sells clothes.,Ụlọ ọrụ ahụ na-ere uwe.
business,The company sells food.,Ụlọ ọrụ ahụ na-ere nri.
business,The company sells computers.,Ụlọ ọrụ ahụ na-ere kọmputa.
business,The shop sells shoes.,Ụlọ ahịa ahụ na-ere akpụkpọ ụkwụ.
business,The market is busy.,Ahịa ahụ na-eme mkpọtụ.
business,The market is crowded.,Ahịa ahụ jupụtara na ndị mmadụ.
business,The seller is friendly.,Onye na-ere ahịa ahụ nwere omume ọma.
business,The seller showed me the product.,Onye na-ere ahịa ahụ gosiri m ngwaahịa ahụ.
business,The buyer wants a discount.,Onye na-azụ ahịa chọrọ mbelata ọnụahịa.
business,The price is too high.,Ọnụahịa ahụ dị oke elu.
business,The price is reasonable.,Ọnụahịa ahụ dabara adaba.
business,The price has changed.,Ọnụahịa ahụ agbanweela.
business,The price is increasing.,Ọnụahịa ahụ na-abawanye.
business,The price is decreasing.,Ọnụahịa ahụ na-ebelata.
