domain,english,igbo
food,The food is ready.,Nri ahụ adịla njikere.
food,I am hungry.,Agụụ na-agụ m.
food,I am thirsty.,Akpịrị na-akpọ m nkụ.
food,The food is delicious.,Nri ahụ na-atọ ụtọ.
food,The food is hot.,Nri ahụ dị ọkụ.
food,The food is cold.,Nri ahụ dị jụụ.
food,The food is fresh.,Nri ahụ dị ọhụrụ.
food,The food is tasty.,Nri ahụ na-atọ ụtọ.
food,I like this food.,Nri a na-amasị m.
food,I do not like this food.,Nri a anaghị amasị m.
food,What are you cooking?,Gịnị ka ị na-esi?
food,I am cooking food.,Ana m esi nri.
food,She is cooking dinner.,Ọ na-esi nri abalị.
food,He is preparing breakfast.,Ọ na-akwadebe nri ụtụtụ.
food,We are preparing lunch.,Anyị na-akwadebe nri ehihie.
food,The mother is cooking in the kitchen.,Nne ahụ na-esi nri n'ọnụ ụlọ nri.
food,The child is eating food.,Nwa ahụ na-eri nri.
food,We are eating dinner.,Anyị na-eri nri abalị.
food,I ate breakfast this morning.,Eriwo m nri ụtụtụ taa.
food,I will eat later.,Aga m eri nri ma emechaa.
food,Please give me some food.,Biko nye m nri.
food,Please give me some water.,Biko nye m mmiri.
food,The child wants food.,Nwa ahụ chọrọ nri.
food,The baby is drinking milk.,Nwa ọhụrụ ahụ na-aṅụ mmiri ara.
food,I drink tea every morning.,Ana m aṅụ tii kwa ụtụtụ.
food,She drinks coffee.,Ọ na-aṅụ kọfị.
food,He drinks cold water.,Ọ na-aṅụ mmiri oyi.
food,We drink fruit juice.,Anyị na-aṅụ ihe ọṅụṅụ mkpụrụ osisi.
food,The water is clean.,Mmiri ahụ dị ọcha.
food,The water is dirty.,Mmiri ahụ ruru unyi.
food,The soup is hot.,Ofe ahụ dị ọkụ.
food,The soup is delicious.,Ofe ahụ na-atọ ụtọ.
food,She made a pot of soup.,Ọ siri ite ofe.
food,The soup needs more salt.,Ofe ahụ chọrọ nnu ọzọ.
food,Add some water to the soup.,Tinye ntakịrị mmiri na ofe ahụ.
food,Add some salt to the food.,Tinye ntakịrị nnu na nri ahụ.
food,The food needs more pepper.,Nri ahụ chọrọ ose ọzọ.
food,The pepper is very hot.,Ose ahụ dị ọkụ nke ukwuu.
food,The rice is ready.,Osikapa adịla njikere.
food,She cooked rice.,Ọ siri osikapa.
food,We ate rice and beans.,Anyị riri osikapa na agwa.
food,The beans are cooking.,Agwa na-esi.
food,The yam is ready.,Ji adịla njikere.
food,She boiled the yam.,Ọ siri ji.
food,He ate roasted yam.,Ọ riri ji a ṅara n'ọkụ.
food,The cassava is fresh.,Akpụ ahụ dị ọhụrụ.
food,The farmer brought cassava.,Onye ọrụ ugbo wetara akpụ.
food,The maize is ready to eat.,Ọka ahụ adịla njikere iri.
food,She roasted the maize.,Ọ ṅara ọka n'ọkụ.
food,The plantain is ripe.,Unere ahụ achawo.
food,The banana is ripe.,Unere ahụ achawo.
food,The fruit is sweet.,Mkpụrụ osisi ahụ na-atọ ụtọ.
food,I bought some oranges.,Azụtara m oroma ụfọdụ.
food,She ate a mango.,Ọ riri mango.
food,The apple is red.,Apụl ahụ na-acha ọbara ọbara.
food,The vegetables are fresh.,Akwụkwọ nri ahụ dị ọhụrụ.
food,Wash the vegetables.,Saa akwụkwọ nri ahụ.
food,She cut the vegetables.,Ọ gbubiri akwụkwọ nri ahụ.
food,The tomato is fresh.,Tomato ahụ dị ọhụrụ.
food,The onion is small.,Yabasị ahụ dị obere.
food,The pepper is green.,Ose ahụ na-acha akwụkwọ ndụ.
food,The carrot is orange.,Karọt ahụ na-acha oroma.
food,We need more vegetables.,Anyị chọrọ akwụkwọ nri ọzọ.
food,The market sells fresh food.,Ahịa ahụ na-ere nri ọhụrụ.
food,I went to the market to buy food.,Agara m ahịa ịzụta nri.
food,She bought vegetables at the market.,Ọ zụtara akwụkwọ nri n'ahịa.
food,He bought fish at the market.,Ọ zụtara azụ n'ahịa.
food,The fish is fresh.,Azụ ahụ dị ọhụrụ.
food,She cooked the fish.,Ọ siri azụ ahụ.
food,The chicken is ready.,Ọkụkọ ahụ adịla njikere.
food,She cooked chicken for dinner.,Ọ siri ọkụkọ maka nri abalị.
food,The meat is soft.,Anụ ahụ dị nro.
food,The meat is hard.,Anụ ahụ siri ike.
food,We bought meat from the market.,Anyị zụtara anụ n'ahịa.
food,The egg is fresh.,Akwa ahụ dị ọhụrụ.
food,She boiled an egg.,Ọ siri akwa.
food,I ate two eggs.,Eri m akwa abụọ.
food,The bread is fresh.,Achịcha ahụ dị ọhụrụ.
food,He bought bread for breakfast.,Ọ zụtara achịcha maka nri ụtụtụ.
food,The cake is sweet.,Achịcha ahụ na-atọ ụtọ.
food,She baked a cake.,Ọ kpụrụ achịcha achịcha.
food,The plate is on the table.,Efere ahụ dị n'elu tebụl.
food,Put the food on the table.,Tinye nri ahụ n'elu tebụl.
food,Bring a clean plate.,Weta efere dị ọcha.
food,Wash the plates.,Saa efere ndị ahụ.
food,The kitchen is clean.,Ụlọ nri ahụ dị ọcha.
food,The kitchen is dirty.,Ụlọ nri ahụ ruru unyi.
food,She is washing the dishes.,Ọ na-asa efere.
food,He is cleaning the kitchen.,Ọ na-ehicha ụlọ nri.
food,The pot is on the stove.,Ite ahụ dị n'elu stovu.
food,The water is boiling.,Mmiri ahụ na-esi.
food,The food is boiling.,Nri ahụ na-esi.
food,Turn off the stove.,Gbanyụọ stovu ahụ.
food,Turn on the stove.,Gbanye stovu ahụ.
food,Use a knife to cut the food.,Jiri mma gbutuo nri ahụ.
food,Use a spoon to eat the soup.,Jiri ngaji rie ofe ahụ.
food,Use a fork to eat the food.,Jiri ndụdụ rie nri ahụ.
food,The spoon is on the table.,Ngaji ahụ dị n'elu tebụl.
food,The knife is sharp.,Mma ahụ dị nkọ.
food,The cup is full of water.,Iko ahụ juputara na mmiri.
food,The bottle is empty.,Karama ahụ tọgbọ chakoo.
food,Fill the bottle with water.,Jupụta karama ahụ na mmiri.
food,The food is too salty.,Nri ahụ nwere nnu gabiga ókè.
food,The food is too spicy.,Nri ahụ nwere ose gabiga ókè.
food,The food is not sweet enough.,Nri ahụ adịghị atọ ụtọ nke ọma.
food,The food smells good.,Nri ahụ na-esi ísì ọma.
food,The food smells bad.,Nri ahụ na-esi ísì ọjọọ.
food,Do you want more food?,Ị chọrọ nri ọzọ?
food,Would you like some water?,Ị chọrọ mmiri?
food,Can I have some rice?,Enwere m ike ịnweta osikapa?
food,Can I have some soup?,Enwere m ike ịnweta ofe?
food,Please wait for the food.,Biko chere nri ahụ.
food,The meal is finished.,Nri ahụ agwụla.
food,There is no more food.,Ọ dịghị nri ọzọ.
food,We have enough food.,Anyị nwere nri zuru ezu.
food,The family prepared food for the visitors.,Ezinụlọ ahụ kwadebere nri maka ndị ọbịa.
food,The visitors ate the food.,Ndị ọbịa ahụ riri nri ahụ.
food,Everyone enjoyed the meal.,Onye ọ bụla nwere mmasị na nri ahụ.
food,The children are eating fruit.,Ụmụaka ahụ na-eri mkpụrụ osisi.
