domain,english,igbo
transportation,I am going home.,Ana m ala.
transportation,I am going to school.,Ana m aga ụlọ akwụkwọ.
transportation,I am going to the market.,Ana m aga ahịa.
transportation,Where are you going?,Ebee ka ị na-aga?
transportation,How are you going there?,Kedu ka ị ga-esi gaa ebe ahụ?
transportation,I am going by car.,Ana m eji ụgbọala aga.
transportation,I am going by bus.,Ana m eji ụgbọ ala ọha aga.
transportation,I am going by taxi.,Ana m eji tagzi aga.
transportation,We are going by bus.,Anyị na-eji ụgbọ ala ọha aga.
transportation,He is driving a car.,Ọ na-anya ụgbọala.
transportation,She is driving to work.,Ọ na-anya ụgbọala aga ọrụ.
transportation,The driver is driving carefully.,Onye ọkwọ ụgbọala ahụ na-anya ụgbọala nke ọma.
transportation,The driver stopped the car.,Onye ọkwọ ụgbọala ahụ kwụsịrị ụgbọala ahụ.
transportation,The car is moving.,Ụgbọala ahụ na-aga.
transportation,The car stopped.,Ụgbọala ahụ kwụsịrị.
transportation,The car is fast.,Ụgbọala ahụ na-agba ọsọ.
transportation,The car is slow.,Ụgbọala ahụ na-eji nwayọ aga.
transportation,The car is new.,Ụgbọala ahụ bụ nke ọhụrụ.
transportation,The car is old.,Ụgbọala ahụ bụ nke ochie.
transportation,The car is clean.,Ụgbọala ahụ dị ọcha.
transportation,The car is dirty.,Ụgbọala ahụ ruru unyi.
transportation,The bus is full.,Ụgbọ ala ọha ahụ jupụtara.
transportation,The bus is empty.,Ụgbọ ala ọha ahụ tọgbọ chakoo.
transportation,The bus arrived early.,Ụgbọ ala ọha ahụ rutere n'oge.
transportation,The bus arrived late.,Ụgbọ ala ọha ahụ rutere n'oge.
transportation,The bus is waiting outside.,Ụgbọ ala ọha ahụ na-eche n'èzí.
transportation,The taxi is waiting for us.,Tagzi ahụ na-eche anyị.
transportation,Call a taxi.,Kpọọ tagzi.
transportation,The taxi driver is friendly.,Onye ọkwọ tagzi ahụ nwere omume ọma.
transportation,We are waiting for the bus.,Anyị na-eche ụgbọ ala ọha.
transportation,I missed the bus.,Agbaghara m ụgbọ ala ọha.
transportation,The bus left before I arrived.,Ụgbọ ala ọha ahụ pụrụ tupu m erute.
transportation,The train is arriving.,Ụgbọ oloko ahụ na-abịa.
transportation,The train has arrived.,Ụgbọ oloko ahụ erutela.
transportation,The train left the station.,Ụgbọ oloko ahụ hapụrụ ọdụ ụgbọ oloko.
transportation,I am waiting at the station.,Ana m eche n'ọdụ ụgbọ oloko.
transportation,The station is crowded.,Ọdụ ụgbọ oloko ahụ jupụtara na ndị mmadụ.
transportation,The train is crowded.,Ụgbọ oloko ahụ jupụtara na ndị mmadụ.
transportation,The train is fast.,Ụgbọ oloko ahụ na-agba ọsọ.
transportation,The train is slow.,Ụgbọ oloko ahụ na-eji nwayọ aga.
transportation,We travelled by train.,Anyị jiri ụgbọ oloko mee njem.
transportation,The airplane is in the sky.,Ụgbọ elu ahụ dị na mbara igwe.
transportation,The airplane is taking off.,Ụgbọ elu ahụ na-efego.
transportation,The airplane has landed.,Ụgbọ elu ahụ agbadataala.
transportation,The airport is far from here.,Ọdụ ụgbọ elu ahụ dị anya site ebe a.
transportation,I am going to the airport.,Ana m aga ọdụ ụgbọ elu.
transportation,We arrived at the airport.,Anyị rutere n'ọdụ ụgbọ elu.
transportation,The flight was delayed.,Egburu oge ụgbọ elu ahụ.
transportation,The flight is on time.,Ụgbọ elu ahụ na-abịa n'oge.
transportation,The passenger is waiting.,Onye njem ahụ na-eche.
transportation,The passengers entered the bus.,Ndị njem ahụ banyere n'ụgbọ ala ọha.
transportation,The passengers left the bus.,Ndị njem ahụ si n'ụgbọ ala ọha pụta.
transportation,The road is busy.,Ụzọ ahụ jupụtara n'ụgbọala.
transportation,The road is empty.,Ụzọ ahụ tọgbọ chakoo.
transportation,The road is wide.,Ụzọ ahụ sara mbara.
transportation,The road is narrow.,Ụzọ ahụ dị warara.
transportation,The road is long.,Ụzọ ahụ dị ogologo.
transportation,The road is short.,Ụzọ ahụ dị mkpụmkpụ.
transportation,The road is dangerous.,Ụzọ ahụ dị ize ndụ.
transportation,The road is safe.,Ụzọ ahụ dị nchebe.
transportation,The road is damaged.,Ụzọ ahụ emebiwo.
transportation,The road is under construction.,A na-arụzi ụzọ ahụ.
transportation,There is traffic on the road.,Okporo ụzọ jupụtara n'ụgbọala.
transportation,The traffic is heavy.,Ụgbọala juru n'okporo ụzọ.
transportation,The traffic is moving slowly.,Ụgbọala na-eji nwayọ aga n'okporo ụzọ.
transportation,We are stuck in traffic.,Ụgbọala jidere anyị n'okporo ụzọ.
transportation,The traffic light is red.,Ìhè okporo ụzọ ahụ na-acha ọbara ọbara.
transportation,The traffic light is green.,Ìhè okporo ụzọ ahụ na-acha akwụkwọ ndụ.
transportation,The traffic light is yellow.,Ìhè okporo ụzọ ahụ na-acha odo.
transportation,Stop at the traffic light.,Kwụsị n'ebe ìhè okporo ụzọ dị.
transportation,Turn left.,Tụgharịa aka ekpe.
transportation,Turn right.,Tụgharịa aka nri.
transportation,Go straight ahead.,Gaa n'ihu kwụ ọtọ.
transportation,The road is on the left.,Ụzọ ahụ dị n'aka ekpe.
transportation,The road is on the right.,Ụzọ ahụ dị n'aka nri.
transportation,Where is the bus stop?,Ebee ka ebe ụgbọ ala ọha na-akwụsị dị?
transportation,The bus stop is near the market.,Ebe ụgbọ ala ọha na-akwụsị dị nso n'ahịa.
transportation,We reached our destination.,Anyị rutere ebe anyị na-aga.
transportation,The journey was long.,Njem ahụ dị ogologo.
transportation,The journey was short.,Njem ahụ dị mkpụmkpụ.
transportation,The journey was difficult.,Njem ahụ siri ike.
transportation,The journey was easy.,Njem ahụ dị mfe.
transportation,We started the journey early.,Anyị malitere njem ahụ n'oge.
transportation,We arrived late.,Anyị rutere n'oge.
transportation,We arrived safely.,Anyị rutere n'udo.
transportation,Drive slowly.,Jiri nwayọ na-anya ụgbọala.
transportation,Drive carefully.,Jiri nlezianya na-anya ụgbọala.
transportation,Do not drive too fast.,Ananyela ụgbọala ọsọ gabiga ókè.
transportation,Fast driving is dangerous.,Ịnya ụgbọala ọsọ dị ize ndụ.
transportation,Wear your seat belt.,Kechie eriri nchekwa gị.
transportation,The seat belt is important.,Eriri nchekwa dị mkpa.
