domain,english,igbo
agriculture,The farmer planted maize.,Onye ọrụ ugbo kụrụ ọka.
agriculture,The farmer planted yam.,Onye ọrụ ugbo kụrụ ji.
agriculture,The farmer planted cassava.,Onye ọrụ ugbo kụrụ akpụ.
agriculture,The farmer planted beans.,Onye ọrụ ugbo kụrụ agwa.
agriculture,The farmer planted rice.,Onye ọrụ ugbo kụrụ osikapa.
agriculture,The farmer planted vegetables.,Onye ọrụ ugbo kụrụ akwụkwọ nri.
agriculture,The farmer planted groundnuts.,Onye ọrụ ugbo kụrụ ahụekere.
agriculture,The farmer planted cocoyam.,Onye ọrụ ugbo kụrụ ede.
agriculture,The farmer went to the farm.,Onye ọrụ ugbo gara n'ubi.
agriculture,The farmer returned from the farm.,Onye ọrụ ugbo si n'ubi lọta.
agriculture,The farmer is working on the farm.,Onye ọrụ ugbo na-arụ ọrụ n'ubi.
agriculture,The farmer is planting maize.,Onye ọrụ ugbo na-akụ ọka.
agriculture,The farmer is planting yam.,Onye ọrụ ugbo na-akụ ji.
agriculture,The farmer is harvesting maize.,Onye ọrụ ugbo na-ewe ihe ubi ọka.
agriculture,The farmer is harvesting yam.,Onye ọrụ ugbo na-ewe ihe ubi ji.
agriculture,The farmer harvested the crops.,Onye ọrụ ugbo wetara ihe ubi.
agriculture,The farmer bought new seeds.,Onye ọrụ ugbo zụtara mkpụrụ ọhụrụ.
agriculture,The farmer selected good seeds.,Onye ọrụ ugbo họọrọ mkpụrụ dị mma.
agriculture,The farmer planted the seeds.,Onye ọrụ ugbo kụrụ mkpụrụ ndị ahụ.
agriculture,The seeds are growing.,Mkpụrụ ndị ahụ na-eto.
agriculture,The crops are growing well.,Ihe ọkụkụ na-eto nke ọma.
agriculture,The plants need water.,Osisi ndị ahụ chọrọ mmiri.
agriculture,The crops need sunlight.,Ihe ọkụkụ chọrọ ìhè anyanwụ.
agriculture,The farmer watered the crops.,Onye ọrụ ugbo nyere ihe ọkụkụ mmiri.
agriculture,The farmer removed the weeds.,Onye ọrụ ugbo wepụrụ ahịhịa ọjọọ.
agriculture,The farmer is weeding the farm.,Onye ọrụ ugbo na-akwọ ahịhịa n'ubi.
agriculture,The farmer used a hoe.,Onye ọrụ ugbo ji ọgụ.
agriculture,The farmer used a cutlass.,Onye ọrụ ugbo ji mma.
agriculture,The farmer used a shovel.,Onye ọrụ ugbo ji shọvel.
agriculture,The farmer bought a new hoe.,Onye ọrụ ugbo zụtara ọgụ ọhụrụ.
agriculture,The farmer repaired his tools.,Onye ọrụ ugbo rụziri ngwa ọrụ ya.
agriculture,The farm is large.,Ubi ahụ buru ibu.
agriculture,The farm is small.,Ubi ahụ dị obere.
agriculture,The farm is near the village.,Ubi ahụ dị nso n'obodo nta.
agriculture,The farm is far from the house.,Ubi ahụ dị anya site n'ụlọ.
agriculture,The soil is fertile.,Ala ahụ na-eme nri.
agriculture,The soil is dry.,Ala ahụ kpọrọ nkụ.
agriculture,The soil is wet.,Ala ahụ dị mmiri.
agriculture,The farmer prepared the soil.,Onye ọrụ ugbo kwadebere ala ahụ.
agriculture,The farmer dug the soil.,Onye ọrụ ugbo gwuru ala ahụ.
agriculture,The farmer added manure to the soil.,Onye ọrụ ugbo tinyere nsị anụmanụ n'ala.
agriculture,The rain helped the crops grow.,Mmiri ozuzo nyeere ihe ọkụkụ aka ito.
agriculture,The rain fell on the farm.,Mmiri ozuzo zoro n'ubi.
agriculture,The farm needs rain.,Ubi ahụ chọrọ mmiri ozuzo.
agriculture,The crops were damaged by the rain.,Mmiri ozuzo mebiri ihe ọkụkụ.
agriculture,The crops were damaged by the drought.,Oké ọkọchị mebiri ihe ọkụkụ.
agriculture,The farmer protects the crops.,Onye ọrụ ugbo na-echebe ihe ọkụkụ.
agriculture,The farmer checked the crops.,Onye ọrụ ugbo nyochara ihe ọkụkụ.
agriculture,The farmer found pests on the plants.,Onye ọrụ ugbo hụrụ ụmụ ahụhụ na osisi ndị ahụ.
agriculture,The farmer removed the pests.,Onye ọrụ ugbo wepụrụ ụmụ ahụhụ ndị ahụ.
agriculture,The farmer used medicine on the crops.,Onye ọrụ ugbo tinyere ọgwụ n'ihe ọkụkụ.
agriculture,The crops are healthy.,Ihe ọkụkụ dị mma.
agriculture,The crops are ready for harvest.,Ihe ọkụkụ dị njikere maka owuwe ihe ubi.
agriculture,The farmer harvested the maize.,Onye ọrụ ugbo wetara ọka.
agriculture,The farmer harvested the cassava.,Onye ọrụ ugbo wetara akpụ.
agriculture,The farmer harvested the beans.,Onye ọrụ ugbo wetara agwa.
agriculture,The farmer harvested the rice.,Onye ọrụ ugbo wetara osikapa.
agriculture,The farmer dug up the yams.,Onye ọrụ ugbo gwupụtara ji.
agriculture,The farmer carried the crops home.,Onye ọrụ ugbo buru ihe ubi laa n'ụlọ.
agriculture,The farmer stored the maize.,Onye ọrụ ugbo chekwara ọka.
agriculture,The farmer stored the yam.,Onye ọrụ ugbo chekwara ji.
agriculture,The farmer sold the crops at the market.,Onye ọrụ ugbo rere ihe ubi n'ahịa.
agriculture,The farmer took the vegetables to the market.,Onye ọrụ ugbo buru akwụkwọ nri gaa n'ahịa.
agriculture,The farmer bought fertilizer.,Onye ọrụ ugbo zụtara fatịlaịza.
agriculture,Fertilizer helps crops grow.,Fatịlaịza na-enyere ihe ọkụkụ aka ito.
agriculture,The farmer applied fertilizer to the farm.,Onye ọrụ ugbo tinyere fatịlaịza n'ubi.
agriculture,The farmer owns a farm.,Onye ọrụ ugbo nwere ubi.
agriculture,My father is a farmer.,Nna m bụ onye ọrụ ugbo.
agriculture,My mother grows vegetables.,Nne m na-akụ akwụkwọ nri.
agriculture,The farmer keeps chickens.,Onye ọrụ ugbo na-azụ ọkụkọ.
agriculture,The farmer keeps goats.,Onye ọrụ ugbo na-azụ ewu.
agriculture,The farmer keeps pigs.,Onye ọrụ ugbo na-azụ ezi.
agriculture,The farmer keeps cattle.,Onye ọrụ ugbo na-azụ ehi.
agriculture,The farmer feeds the animals.,Onye ọrụ ugbo na-enye anụmanụ nri.
agriculture,The animals need water.,Anụmanụ ndị ahụ chọrọ mmiri.
agriculture,The farmer built a house for the animals.,Onye ọrụ ugbo wuru ụlọ maka anụmanụ ndị ahụ.
agriculture,The chicken laid eggs.,Ọkụkọ ahụ tọrọ akwa.
agriculture,The farmer collected the eggs.,Onye ọrụ ugbo chịkọtara akwa ndị ahụ.
agriculture,The goat is eating grass.,Ewu ahụ na-eri ahịhịa.
agriculture,The cow is eating grass.,Ehi ahụ na-eri ahịhịa.
agriculture,The farmer bought a tractor.,Onye ọrụ ugbo zụtara traktọ.
agriculture,The tractor is working on the farm.,Traktọ ahụ na-arụ ọrụ n'ubi.
agriculture,The farmer drove the tractor.,Onye ọrụ ugbo kụrụ traktọ.
