domain,english,igbo
general,Quickly The often table is big.,tebụl ahụ dị ukwu.
education,The teacher is open.,onye nkuzi meghere.
technology,Chioma sometimes uses a computer. carefully.,Chioma na-eji kọmputa.
weather,Now Obinna always likes the cloud.,Obinna hụrụ igwe ojii n'anya.
general,Kindly The book sometimes is old.,akwụkwọ ahụ dị ochie.
education,Peter studies in the examination.,Peter na-amụ na ule.
government,Please Grace met always the minister. carefully.,Grace zutere mịnista.
business,Peter sometimes bought egg. immediately.,Peter zụtara akwa.
education,Please The really assignment is open. immediately.,ọrụ ụlọ meghere.
weather,Now There is sometimes cloud today. again.,igwe ojii dị taa.
technology,Chinedu uses a computer.,Chinedu na-eji kọmputa.
technology,Peter very uses a hardware. today.,Peter na-eji họdụwia.
weather,Chioma likes the storm.,Chioma hụrụ oke ifufe n'anya.
transportation,Quickly Peter always boarded a airport. again.,Peter banyere ọdụ ụgbọ elu.
technology,Peter often uses a computer. immediately.,Peter na-eji kọmputa.
health,Please The doctor always treated typhoid. again.,Dọkịta gwọrọ taịfọd.
general,Peter has a book.,Peter nwere akwụkwọ.
general,Now Obinna has really a car. again.,Obinna nwere ụgbọala.
food,Emeka cooked cassava.,Emeka siri akpụ.
government,Please Peter met the minister.,Peter zutere mịnista.
government,Today Peter met the senator.,Peter zutere senetọ.
education,Tomorrow The student often is open.,nwa akwụkwọ meghere.
health,Quickly The very doctor treated diabetes.,Dọkịta gwọrọ shuga.
transportation,Quickly Chinedu sometimes travelled to Owerri. carefully.,Chinedu gara Owerri.
transportation,John travelled to Nigeria.,John gara Naịjirịa.
weather,Please There is really wind today. immediately.,ifufe dị taa.
transportation,Kindly Grace always travelled to Onitsha. today.,Grace gara Ọnịcha.
business,Quickly The trader very visited Enugu. carefully.,Onye ahịa gara Enugu.
weather,The sun is changing.,anwụ na-agbanwe.
government,Quickly The senator sometimes announced a meeting. again.,senetọ kwupụtara nzukọ.
transportation,David travelled to Owerri.,David gara Owerri.
education,Grace studies in the assignment.,Grace na-amụ na ọrụ ụlọ.
transportation,Now The airport always arrived early. carefully.,ọdụ ụgbọ elu rutere n'oge.
general,Tomorrow The always chair is beautiful. now.,oche ahụ dị mara mma.
business,Please Chioma often sold the bag.,Chioma rere akpa.
government,The election really was peaceful. again.,Ntuli aka gara nke ọma.
health,John visited the often hospital today. today.,John gara ụlọ ọgwụ taa.
food,Chinedu cooked beans.,Chinedu siri agwa.
education,The classroom sometimes is open.,ụlọ klas meghere.
education,Now Every police officer really needs education. again.,onye uwe ojii niile chọrọ agụmakwụkwọ.
general,John lives in Onitsha.,John bi na Ọnịcha.
business,Kindly The trader really visited Nigeria. immediately.,Onye ahịa gara Naịjirịa.
education,Grace studies in the student.,Grace na-amụ na nwa akwụkwọ.
general,Tomorrow Obinna really has a chair. again.,Obinna nwere oche.
general,Kindly Obinna lives very in Abuja. carefully.,Obinna bi na Abuja.
technology,Please Mary repaired very the website. today.,Mary rụziri weebụsaịtị.
food,David ate yam.,David riri ji.
weather,Today Ada very likes the wind. carefully.,Ada hụrụ ifufe n'anya.
technology,Now Emeka very uses a internet. immediately.,Emeka na-eji ịntanet.
technology,Please David repaired very the database. immediately.,David rụziri ụlọ nchekwa data.
transportation,Please Obinna travelled always to Abuja.,Obinna gara Abuja.
government,Tomorrow Grace always met the minister. again.,Grace zutere mịnista.
education,Now Every mechanic often needs education. again.,onye nrụzi ụgbọala niile chọrọ agụmakwụkwọ.
food,Quickly Chioma often cooked soup. now.,Chioma siri ofe.
technology,Grace repaired the computer.,Grace rụziri kọmputa.
government,Quickly The senator announced often a meeting. carefully.,senetọ kwupụtara nzukọ.
technology,Tomorrow Chinedu repaired always the computer.,Chinedu rụziri kọmputa.
transportation,Emeka travelled to Lagos.,Emeka gara Lagos.
transportation,Now John very travelled to Onitsha.,John gara Ọnịcha.
general,The book is old.,akwụkwọ ahụ dị ochie.
agriculture,Please The farmer often planted yam. now.,Onye ọrụ ugbo kụrụ ji.
transportation,Chinedu boarded a motorcycle.,Chinedu banyere ọkada.
food,Today Obinna ate beans. again.,Obinna riri agwa.
business,Tomorrow Chioma sold often the table. today.,Chioma rere tebụl.
health,Tomorrow Obinna sometimes has cholera. now.,Obinna nwere kọlera.
agriculture,Quickly The always farmer planted rice. today.,Onye ọrụ ugbo kụrụ osikapa.
technology,Obinna very repaired the internet. carefully.,Obinna rụziri ịntanet.
technology,Quickly Ada uses sometimes a mouse. again.,Ada na-eji maụs.
food,Quickly Grace sometimes cooked garri. today.,Grace siri garri.
general,Now John sometimes works slowly. today.,John na-arụ ọrụ nwayọọ.
food,Quickly Mary ate garri. now.,Mary riri garri.
transportation,Tomorrow Grace very travelled to Onitsha. immediately.,Grace gara Ọnịcha.
transportation,Emeka boarded a road.,Emeka banyere ụzọ.
general,Today Peter really will write tomorrow. today.,Peter ga dee echi.
business,Chinedu bought beans.,Chinedu zụtara agwa.
general,Obinna is a electrician.,Obinna bụ onye ọkụ eletrik.
business,David bought bread.,David zụtara achịcha.
transportation,The road arrived early.,ụzọ rutere n'oge.
technology,Kindly Chinedu uses always a website. now.,Chinedu na-eji weebụsaịtị.
technology,Kindly Ada very uses a mouse. now.,Ada na-eji maụs.
general,Peter lives in Abuja.,Peter bi na Abuja.
food,Now beans tastes good. today.,agwa na-atọ ụtọ.
general,Please The sometimes bag is fast. immediately.,akpa ahụ dị ngwa ngwa.
general,Today Ada lives sometimes in Onitsha. today.,Ada bi na Ọnịcha.
technology,Tomorrow The often software is new. again.,sọftụwia ahụ dị ọhụrụ.
technology,Mary uses a keyboard.,Mary na-eji kiibọdụ.
education,Emeka studies in the student.,Emeka na-amụ na nwa akwụkwọ.
business,Chinedu bought egg.,Chinedu zụtara akwa.
technology,Please The mouse is new. now.,maụs ahụ dị ọhụrụ.
health,Kindly Obinna really has fever. today.,Obinna nwere ahụ ọkụ.
transportation,Today David travelled often to Owerri. now.,David gara Owerri.
food,Please Chinedu often cooked beans.,Chinedu siri agwa.
education,Every student always needs education. immediately.,nwata akwụkwọ niile chọrọ agụmakwụkwọ.
education,Now David studies often in the school. again.,David na-amụ na ụlọ akwụkwọ.
weather,Kindly There is sometimes cloud today. now.,igwe ojii dị taa.
food,Chioma cooked garri.,Chioma siri garri.
weather,Quickly Grace very likes the rain. today.,Grace hụrụ mmiri ozuzo n'anya.
education,Obinna studies in the student.,Obinna na-amụ na nwa akwụkwọ.
business,Please Chinedu often bought soup. again.,Chinedu zụtara ofe.
weather,Kindly The weather always is changing. today.,ihu igwe na-agbanwe.
technology,Quickly Grace uses really a website. today.,Grace na-eji weebụsaịtị.
health,Today Mary very has malaria.,Mary nwere iba.
technology,Now The very mouse is new. carefully.,maụs ahụ dị ọhụrụ.
health,Tomorrow The sometimes doctor treated fever. again.,Dọkịta gwọrọ ahụ ọkụ.
general,Chioma works carefully.,Chioma na-arụ ọrụ nlezianya.
agriculture,Now maize often grows well. today.,ọka na-eto nke ọma.
agriculture,Peter harvested cassava.,Peter kpọrọ akpụ.
education,Quickly Every really mechanic needs education. carefully.,onye nrụzi ụgbọala niile chọrọ agụmakwụkwọ.
health,John visited the very hospital today. today.,John gara ụlọ ọgwụ taa.
health,Kindly The doctor often treated diabetes. carefully.,Dọkịta gwọrọ shuga.
government,Tomorrow The government announced always a meeting. again.,gọọmenti kwupụtara nzukọ.
technology,Emeka uses a database.,Emeka na-eji ụlọ nchekwa data.
agriculture,Tomorrow David always harvested yam. immediately.,David kpọrọ ji.
technology,David repaired the internet.,David rụziri ịntanet.
technology,Chioma uses a mouse.,Chioma na-eji maụs.
general,Ada has a computer.,Ada nwere kọmputa.
business,David sold the computer.,David rere kọmputa.
government,The government announced always a meeting. carefully.,gọọmenti kwupụtara nzukọ.
technology,Please Grace uses very a keyboard. today.,Grace na-eji kiibọdụ.
education,Today John studies in always the classroom. immediately.,John na-amụ na ụlọ klas.
transportation,Obinna travelled to Enugu.,Obinna gara Enugu.
education,Today Grace studies in really the student. again.,Grace na-amụ na nwa akwụkwọ.
transportation,Quickly The bus sometimes arrived early. again.,bọs rutere n'oge.
technology,Mary uses a mouse.,Mary na-eji maụs.
general,Mary is a student.,Mary bụ nwata akwụkwọ.
government,Quickly The really election was peaceful. again.,Ntuli aka gara nke ọma.
health,Chinedu has cholera.,Chinedu nwere kọlera.
government,Today The president announced very a meeting. carefully.,onye isi ala kwupụtara nzukọ.
transportation,Quickly Chinedu boarded always a airport. today.,Chinedu banyere ọdụ ụgbọ elu.
government,Today The very government announced a meeting. carefully.,gọọmenti kwupụtara nzukọ.
transportation,Now David boarded very a car. immediately.,David banyere ụgbọala.
food,Peter cooked egg.,Peter siri akwa.
general,David very will go tomorrow. today.,David ga gaa echi.
business,Today Ada really sold the chair. again.,Ada rere oche.
technology,Peter uses a internet.,Peter na-eji ịntanet.
general,Kindly Peter is a nurse. now.,Peter bụ nọọsụ.
food,Now Ada really ate meat.,Ada riri anụ.
education,Every student always needs education. now.,nwata akwụkwọ niile chọrọ agụmakwụkwọ.
general,Obinna has a car.,Obinna nwere ụgbọala.
business,Chinedu sold the car.,Chinedu rere ụgbọala.
general,Grace very lives in Enugu. today.,Grace bi na Enugu.
business,Please The very trader visited Lagos. immediately.,Onye ahịa gara Lagos.
food,Kindly John often cooked fish.,John siri azụ.
education,Today David studies in the school.,David na-amụ na ụlọ akwụkwọ.
health,Ada has flu.,Ada nwere oyi.
technology,Now The software sometimes is new. immediately.,sọftụwia ahụ dị ọhụrụ.
general,Ada really lives in Enugu. today.,Ada bi na Enugu.
transportation,The very car arrived early. immediately.,ụgbọala rutere n'oge.
technology,Obinna uses a computer.,Obinna na-eji kọmputa.
food,Mary cooked yam.,Mary siri ji.
government,Tomorrow Emeka met the government.,Emeka zutere gọọmenti.
health,Now David always has diabetes. today.,David nwere shuga.
health,Please Chinedu very has cholera. again.,Chinedu nwere kọlera.
general,Emeka works slowly.,Emeka na-arụ ọrụ nwayọọ.
transportation,Please The sometimes motorcycle arrived early. today.,ọkada rutere n'oge.
weather,Now Emeka likes the weather.,Emeka hụrụ ihu igwe n'anya.
weather,Please There is wind today. today.,ifufe dị taa.
government,Now The election was peaceful. immediately.,Ntuli aka gara nke ọma.
general,Grace works well.,Grace na-arụ ọrụ nke ọma.
general,Kindly The often computer is small. immediately.,kọmputa ahụ dị obere.
technology,Emeka uses a computer.,Emeka na-eji kọmputa.
business,Now The trader visited Nigeria. today.,Onye ahịa gara Naịjirịa.
government,Today Chinedu met always the governor. again.,Chinedu zutere gọvanọ.
weather,Kindly There sometimes is sun today. again.,anwụ dị taa.
food,Today Peter ate egg. now.,Peter riri akwa.
government,David met the president.,David zutere onye isi ala.
health,Ada visited the hospital today.,Ada gara ụlọ ọgwụ taa.
weather,Kindly Chinedu likes very the sun. now.,Chinedu hụrụ anwụ n'anya.
general,Please Ada works well. now.,Ada na-arụ ọrụ nke ọma.
education,David studies in the school. carefully.,David na-amụ na ụlọ akwụkwọ.
business,Grace bought bread.,Grace zụtara achịcha.
technology,Grace uses a internet.,Grace na-eji ịntanet.
business,Now Mary sold always the book. carefully.,Mary rere akwụkwọ.
business,Chioma bought egg.,Chioma zụtara akwa.
general,Today Chinedu very lives in Nigeria. carefully.,Chinedu bi na Naịjirịa.
weather,Peter likes the wind.,Peter hụrụ ifufe n'anya.
general,Peter has a car.,Peter nwere ụgbọala.
health,Now The doctor treated typhoid. immediately.,Dọkịta gwọrọ taịfọd.
agriculture,Quickly Mary very harvested cocoyam. again.,Mary kpọrọ ede.
food,Kindly egg really tastes good. immediately.,akwa na-atọ ụtọ.
weather,Kindly There is often sun today. now.,anwụ dị taa.
business,Emeka bought soup. carefully.,Emeka zụtara ofe.
agriculture,Please maize often grows well. today.,ọka na-eto nke ọma.
education,Today Every trader needs education. immediately.,onye ahịa niile chọrọ agụmakwụkwọ.
transportation,Tomorrow Chinedu boarded always a airport. now.,Chinedu banyere ọdụ ụgbọ elu.
food,yam really tastes good. carefully.,ji na-atọ ụtọ.
weather,Please The storm really is changing.,oke ifufe na-agbanwe.
transportation,Ada travelled to Lagos.,Ada gara Lagos.
food,bread tastes good.,achịcha na-atọ ụtọ.
health,Chioma always has malaria. again.,Chioma nwere iba.
weather,There very is cloud today. immediately.,igwe ojii dị taa.
food,Quickly Peter very ate garri. now.,Peter riri garri.
business,Kindly Grace really bought yam.,Grace zụtara ji.
food,Peter cooked bread.,Peter siri achịcha.
transportation,Tomorrow The car sometimes arrived early. now.,ụgbọala rutere n'oge.
transportation,Mary travelled to Kano.,Mary gara Kano.
transportation,Today Chinedu very boarded a motorcycle. immediately.,Chinedu banyere ọkada.
technology,Kindly David very uses a software. immediately.,David na-eji sọftụwia.
technology,Mary uses a hardware.,Mary na-eji họdụwia.
business,Now Chioma often bought garri. now.,Chioma zụtara garri.
food,Tomorrow Chioma sometimes ate cassava. again.,Chioma riri akpụ.
technology,Chioma repaired the website.,Chioma rụziri weebụsaịtị.
technology,Please Grace uses very a hardware. today.,Grace na-eji họdụwia.
transportation,Chinedu boarded a airport.,Chinedu banyere ọdụ ụgbọ elu.
weather,Ada likes the weather.,Ada hụrụ ihu igwe n'anya.
transportation,Kindly Ada travelled often to Kano. again.,Ada gara Kano.
health,Now The always doctor treated cholera. immediately.,Dọkịta gwọrọ kọlera.
health,Emeka visited the hospital today.,Emeka gara ụlọ ọgwụ taa.
transportation,The bus arrived early. today.,bọs rutere n'oge.
technology,Quickly Emeka always repaired the internet. now.,Emeka rụziri ịntanet.
food,Quickly Peter always ate rice. today.,Peter riri osikapa.
health,Quickly John visited the really hospital today. immediately.,John gara ụlọ ọgwụ taa.
government,Kindly The election sometimes was peaceful.,Ntuli aka gara nke ọma.
education,Every soldier needs education.,onye agha niile chọrọ agụmakwụkwọ.
weather,Chinedu likes the storm.,Chinedu hụrụ oke ifufe n'anya.
health,Now Obinna has fever.,Obinna nwere ahụ ọkụ.
education,Tomorrow Obinna sometimes studies in the teacher. now.,Obinna na-amụ na onye nkuzi.
weather,Kindly The really wind is changing. immediately.,ifufe na-agbanwe.
general,The car is small.,ụgbọala ahụ dị obere.
food,Grace cooked meat.,Grace siri anụ.
education,Grace studies in the school.,Grace na-amụ na ụlọ akwụkwọ.
transportation,Quickly Obinna often travelled to Onitsha.,Obinna gara Ọnịcha.
agriculture,Today Chioma very harvested cocoyam. carefully.,Chioma kpọrọ ede.
education,Today Every tailor really needs education. now.,onye akwa niile chọrọ agụmakwụkwọ.
technology,Obinna repaired the hardware.,Obinna rụziri họdụwia.
business,Now Obinna often sold the computer. today.,Obinna rere kọmputa.
health,Tomorrow John visited the often hospital today. carefully.,John gara ụlọ ọgwụ taa.
business,Please The very trader visited Nigeria. today.,Onye ahịa gara Naịjirịa.
general,Peter lives in Kano.,Peter bi na Kano.
food,Quickly John often cooked rice. immediately.,John siri osikapa.
health,Today Peter visited the hospital today. now.,Peter gara ụlọ ọgwụ taa.
education,Please Grace studies always in the assignment. carefully.,Grace na-amụ na ọrụ ụlọ.
weather,Tomorrow The rain often is changing. today.,mmiri ozuzo na-agbanwe.
technology,Emeka uses a internet.,Emeka na-eji ịntanet.
food,Ada ate garri.,Ada riri garri.
general,Now John often will buy tomorrow. immediately.,John ga zụ echi.
general,Mary very lives in Nigeria.,Mary bi na Naịjirịa.
weather,Now The wind sometimes is changing. now.,ifufe na-agbanwe.
technology,Quickly Mary uses very a hardware. today.,Mary na-eji họdụwia.
transportation,Today The very road arrived early.,ụzọ rutere n'oge.
business,Mary sold the phone.,Mary rere ekwentị.
health,The doctor treated fever.,Dọkịta gwọrọ ahụ ọkụ.
education,Today Every programmer sometimes needs education.,onye mmemme kọmputa niile chọrọ agụmakwụkwọ.
education,Quickly Every very teacher needs education. now.,onye nkuzi niile chọrọ agụmakwụkwọ.
general,Today The always bag is big. today.,akpa ahụ dị ukwu.
weather,Now Chioma likes sometimes the rain. again.,Chioma hụrụ mmiri ozuzo n'anya.
general,Ada lives in Enugu.,Ada bi na Enugu.
general,Obinna has a chair.,Obinna nwere oche.
food,Today garri really tastes good. today.,garri na-atọ ụtọ.
technology,Chinedu repaired the computer.,Chinedu rụziri kọmputa.
agriculture,Mary often harvested cassava. today.,Mary kpọrọ akpụ.
general,The car is big.,ụgbọala ahụ dị ukwu.
education,Today John always studies in the examination. today.,John na-amụ na ule.
business,Please Ada sold always the chair. now.,Ada rere oche.
health,Now Peter visited the hospital today. carefully.,Peter gara ụlọ ọgwụ taa.
food,Chioma cooked rice.,Chioma siri osikapa.
agriculture,John harvested cocoyam.,John kpọrọ ede.
business,John bought meat.,John zụtara anụ.
food,Quickly David often cooked beans. now.,David siri agwa.
agriculture,Ada harvested cocoyam.,Ada kpọrọ ede.
general,The table is beautiful.,tebụl ahụ dị mara mma.
business,Now Peter always bought beans. now.,Peter zụtara agwa.
business,Obinna sold the computer.,Obinna rere kọmputa.
weather,Quickly There is really wind today. immediately.,ifufe dị taa.
education,Please The very school is open. again.,ụlọ akwụkwọ meghere.
agriculture,maize grows well.,ọka na-eto nke ọma.
transportation,Emeka boarded a car.,Emeka banyere ụgbọala.
technology,Emeka uses a website.,Emeka na-eji weebụsaịtị.
general,David will go tomorrow.,David ga gaa echi.
general,Mary is a teacher. immediately.,Mary bụ onye nkuzi.
education,Every mechanic needs education.,onye nrụzi ụgbọala niile chọrọ agụmakwụkwọ.
food,Please Mary sometimes cooked meat. carefully.,Mary siri anụ.
weather,Kindly The cloud is changing. again.,igwe ojii na-agbanwe.
business,Peter bought egg.,Peter zụtara akwa.
weather,Please There is always rain today. immediately.,mmiri ozuzo dị taa.
general,Grace is a doctor.,Grace bụ dọkịta.
