domain,english,igbo
general,Good morning.,Ụtụtụ ọma.
general,Good afternoon.,Ehihie ọma.
general,Good evening.,Mgbede ọma.
general,How are you?,Kedu ka ị mere?
general,I am fine.,Adị m mma.
general,Thank you.,Daalụ.
general,You are welcome.,Nnọọ.
general,What is your name?,Gịnị bụ aha gị?
general,My name is David.,Aha m bụ David.
general,I am a student.,Abụ m nwa akwụkwọ.
general,She is a teacher.,Ọ bụ onye nkuzi.
general,He is my friend.,Ọ bụ enyi m.
general,This is my house.,Nke a bụ ụlọ m.
general,Where are you going?,Ebee ka ị na-aga?
general,I do not understand.,Aghọtaghị m.
general,Please speak slowly.,Biko kwuo nwayọ.
general,What are you doing?,Gịnị ka ị na-eme?
general,I am learning English.,Ana m amụ Bekee.
general,I speak Igbo.,Ana m asụ Igbo.
general,See you tomorrow.,Ka anyị hụ echi.
education,I am going to school.,Ana m aga ụlọ akwụkwọ.
education,The student is reading a book.,Nwa akwụkwọ ahụ na-agụ akwụkwọ.
education,The teacher is teaching the students.,Onye nkuzi na-akụziri ụmụ akwụkwọ.
education,The library is open.,Ọba akwụkwọ meghere.
education,The examination starts today.,Ule ahụ na-amalite taa.
education,The student passed the examination.,Nwa akwụkwọ ahụ gafere ule ahụ.
education,She is studying mathematics.,Ọ na-amụ mgbakọ na mwepụ.
education,He wrote an important note.,O dere ihe dị mkpa.
agriculture,The farmer planted maize.,Onye ọrụ ugbo kụrụ ọka.
agriculture,The farmer harvested maize.,Onye ọrụ ugbo wetara ọka.
agriculture,The farmer planted yam.,Onye ọrụ ugbo kụrụ ji.
agriculture,The farmer went to the farm.,Onye ọrụ ugbo gara n'ubi.
agriculture,The crops are growing well.,Ihe ọkụkụ na-eto nke ọma.
agriculture,The farmer bought seeds.,Onye ọrụ ugbo zụtara mkpụrụ.
food,I ate rice.,Riri m osikapa.
food,She cooked beans.,Ọ siri agwa.
food,He bought yam.,Ọ zụtara ji.
food,The food tastes good.,Nri ahụ na-atọ ụtọ.
food,I am hungry.,Agụụ na-agụ m.
food,I am thirsty.,Akpịrị na-akpọ m nkụ.
food,The woman cooked soup.,Nwanyị ahụ siri ofe.
health,The doctor treated the patient.,Dọkịta gwọrọ onye ọrịa.
health,I am feeling sick.,Ahụ adịghị m mma.
health,The child has a fever.,Nwatakịrị ahụ nwere ahụ ọkụ.
health,Take this medicine.,Were ọgwụ a.
