domain,english,igbo
technology,David repaired the internet.,David rụziri ịntanet.
technology,Kindly David repaired very the internet. now.,David rụziri ịntanet.
general,Ada lives in Enugu.,Ada bi na Enugu.
general,Ada really lives in Enugu. today.,Ada bi na Enugu.
transportation,The airport arrived early.,ọdụ ụgbọ elu rutere n'oge.
transportation,Please The very airport arrived early. now.,ọdụ ụgbọ elu rutere n'oge.
food,garri tastes good.,garri na-atọ ụtọ.
food,Today garri really tastes good. carefully.,garri na-atọ ụtọ.
weather,Peter likes the cloud.,Peter hụrụ igwe ojii n'anya.
weather,Please Peter sometimes likes the cloud. carefully.,Peter hụrụ igwe ojii n'anya.
health,The doctor treated diabetes.,Dọkịta gwọrọ shuga.
health,Tomorrow The doctor treated diabetes.,Dọkịta gwọrọ shuga.
transportation,Now The very airport arrived early. again.,ọdụ ụgbọ elu rutere n'oge.
food,Grace cooked garri.,Grace siri garri.
food,Quickly Grace sometimes cooked garri. today.,Grace siri garri.
business,The trader visited Enugu.,Onye ahịa gara Enugu.
business,Today The trader always visited Enugu. now.,Onye ahịa gara Enugu.
transportation,The car arrived early.,ụgbọala rutere n'oge.
transportation,Quickly The often car arrived early.,ụgbọala rutere n'oge.
weather,Mary likes the storm.,Mary hụrụ oke ifufe n'anya.
weather,Quickly Mary likes the storm. now.,Mary hụrụ oke ifufe n'anya.
business,Grace bought yam.,Grace zụtara ji.
business,Please Grace often bought yam.,Grace zụtara ji.
agriculture,David harvested maize.,David kpọrọ ọka.
agriculture,David often harvested maize. now.,David kpọrọ ọka.
business,Chioma sold the phone.,Chioma rere ekwentị.
business,Tomorrow Chioma sold the phone. immediately.,Chioma rere ekwentị.
business,The trader visited Kano.,Onye ahịa gara Kano.
business,Now The trader sometimes visited Kano. today.,Onye ahịa gara Kano.
food,Peter ate rice.,Peter riri osikapa.
food,Quickly Peter always ate rice. today.,Peter riri osikapa.
education,Peter studies in the examination.,Peter na-amụ na ule.
education,Today Peter studies very in the examination. today.,Peter na-amụ na ule.
food,Mary ate beans.,Mary riri agwa.
food,Please Mary sometimes ate beans. now.,Mary riri agwa.
agriculture,The farmer planted tomato.,Onye ọrụ ugbo kụrụ tomato.
agriculture,The farmer very planted tomato. immediately.,Onye ọrụ ugbo kụrụ tomato.
technology,The internet is new.,ịntanet ahụ dị ọhụrụ.
technology,The really internet is new.,ịntanet ahụ dị ọhụrụ.
business,Mary bought beans.,Mary zụtara agwa.
business,Now Mary very bought beans. immediately.,Mary zụtara agwa.
health,The doctor treated typhoid.,Dọkịta gwọrọ taịfọd.
health,The doctor sometimes treated typhoid. now.,Dọkịta gwọrọ taịfọd.
education,The library is open.,ọba akwụkwọ meghere.
education,Now The library really is open. immediately.,ọba akwụkwọ meghere.
food,yam tastes good.,ji na-atọ ụtọ.
food,Please yam sometimes tastes good. immediately.,ji na-atọ ụtọ.
weather,The wind is changing.,ifufe na-agbanwe.
weather,Kindly The really wind is changing. immediately.,ifufe na-agbanwe.
business,The trader visited Onitsha.,Onye ahịa gara Ọnịcha.
business,Kindly The sometimes trader visited Onitsha. immediately.,Onye ahịa gara Ọnịcha.
technology,Chioma repaired the software.,Chioma rụziri sọftụwia.
technology,Today Chioma really repaired the software. carefully.,Chioma rụziri sọftụwia.
weather,John likes the cloud.,John hụrụ igwe ojii n'anya.
weather,Kindly John really likes the cloud. again.,John hụrụ igwe ojii n'anya.
technology,The software is new.,sọftụwia ahụ dị ọhụrụ.
technology,Tomorrow The often software is new. again.,sọftụwia ahụ dị ọhụrụ.
education,Emeka studies in the school.,Emeka na-amụ na ụlọ akwụkwọ.
education,Emeka always studies in the school.,Emeka na-amụ na ụlọ akwụkwọ.
transportation,Mary boarded a motorcycle.,Mary banyere ọkada.
transportation,Today Mary always boarded a motorcycle. again.,Mary banyere ọkada.
education,Obinna studies in the teacher.,Obinna na-amụ na onye nkuzi.
education,Tomorrow Obinna sometimes studies in the teacher. now.,Obinna na-amụ na onye nkuzi.
technology,Chioma repaired the internet.,Chioma rụziri ịntanet.
technology,Today Chioma repaired very the internet. again.,Chioma rụziri ịntanet.
general,Mary is a soldier.,Mary bụ onye agha.
general,Now Mary is a soldier. now.,Mary bụ onye agha.
transportation,Ada boarded a bicycle.,Ada banyere igwe kwụ otu ebe.
transportation,Quickly Ada sometimes boarded a bicycle. carefully.,Ada banyere igwe kwụ otu ebe.
general,Mary is a student.,Mary bụ nwata akwụkwọ.
general,Please Mary is always a student. immediately.,Mary bụ nwata akwụkwọ.
general,John works slowly.,John na-arụ ọrụ nwayọọ.
general,Now John sometimes works slowly. today.,John na-arụ ọrụ nwayọọ.
government,Emeka met the government.,Emeka zutere gọọmenti.
government,Tomorrow Emeka met the government.,Emeka zutere gọọmenti.
government,The election was peaceful.,Ntuli aka gara nke ọma.
government,Please The election always was peaceful. immediately.,Ntuli aka gara nke ọma.
food,Peter ate garri.,Peter riri garri.
food,Quickly Peter very ate garri. now.,Peter riri garri.
transportation,Grace travelled to Onitsha.,Grace gara Ọnịcha.
transportation,Kindly Grace always travelled to Onitsha. today.,Grace gara Ọnịcha.
weather,There is storm today.,oke ifufe dị taa.
weather,There very is storm today. today.,oke ifufe dị taa.
weather,Peter likes the wind.,Peter hụrụ ifufe n'anya.
weather,Quickly Peter likes the wind. now.,Peter hụrụ ifufe n'anya.
health,Chioma has malaria.,Chioma nwere iba.
health,Chioma always has malaria. again.,Chioma nwere iba.
health,Today The doctor sometimes treated diabetes. immediately.,Dọkịta gwọrọ shuga.
transportation,Emeka travelled to Nigeria.,Emeka gara Naịjirịa.
transportation,Kindly Emeka travelled always to Nigeria. immediately.,Emeka gara Naịjirịa.
food,rice tastes good.,osikapa na-atọ ụtọ.
food,Today rice always tastes good. now.,osikapa na-atọ ụtọ.
health,The doctor treated fever.,Dọkịta gwọrọ ahụ ọkụ.
health,The often doctor treated fever. again.,Dọkịta gwọrọ ahụ ọkụ.
weather,The weather is changing.,ihu igwe na-agbanwe.
weather,Please The often weather is changing. now.,ihu igwe na-agbanwe.
technology,Ada uses a website.,Ada na-eji weebụsaịtị.
technology,Quickly Ada uses always a website. carefully.,Ada na-eji weebụsaịtị.
technology,The keyboard is new.,kiibọdụ ahụ dị ọhụrụ.
technology,Tomorrow The keyboard very is new. carefully.,kiibọdụ ahụ dị ọhụrụ.
business,Tomorrow The really trader visited Enugu. now.,Onye ahịa gara Enugu.
education,Obinna studies in the school.,Obinna na-amụ na ụlọ akwụkwọ.
education,Tomorrow Obinna really studies in the school. immediately.,Obinna na-amụ na ụlọ akwụkwọ.
health,Peter visited the hospital today.,Peter gara ụlọ ọgwụ taa.
health,Please Peter always visited the hospital today. today.,Peter gara ụlọ ọgwụ taa.
business,Peter sold the bag.,Peter rere akpa.
business,Please Peter sold the bag.,Peter rere akpa.
education,Ada studies in the teacher.,Ada na-amụ na onye nkuzi.
education,Tomorrow Ada studies in often the teacher. today.,Ada na-amụ na onye nkuzi.
weather,There is weather today.,ihu igwe dị taa.
weather,Now There sometimes is weather today.,ihu igwe dị taa.
food,Chioma cooked rice.,Chioma siri osikapa.
food,Today Chioma often cooked rice. now.,Chioma siri osikapa.
education,Every nurse needs education.,nọọsụ niile chọrọ agụmakwụkwọ.
education,Now Every nurse often needs education. again.,nọọsụ niile chọrọ agụmakwụkwọ.
technology,Chinedu repaired the hardware.,Chinedu rụziri họdụwia.
technology,Chinedu often repaired the hardware. carefully.,Chinedu rụziri họdụwia.
weather,Grace likes the weather.,Grace hụrụ ihu igwe n'anya.
weather,Today Grace likes often the weather. again.,Grace hụrụ ihu igwe n'anya.
transportation,Ada travelled to Abuja.,Ada gara Abuja.
transportation,Today Ada often travelled to Abuja. today.,Ada gara Abuja.
food,Ada cooked meat.,Ada siri anụ.
food,Quickly Ada always cooked meat. now.,Ada siri anụ.
agriculture,rice grows well.,osikapa na-eto nke ọma.
agriculture,Tomorrow rice always grows well. now.,osikapa na-eto nke ọma.
education,Mary studies in the examination.,Mary na-amụ na ule.
education,Quickly Mary sometimes studies in the examination. again.,Mary na-amụ na ule.
transportation,David boarded a airport.,David banyere ọdụ ụgbọ elu.
transportation,Today David very boarded a airport. carefully.,David banyere ọdụ ụgbọ elu.
food,meat tastes good.,anụ na-atọ ụtọ.
food,meat really tastes good. immediately.,anụ na-atọ ụtọ.
weather,The storm is changing.,oke ifufe na-agbanwe.
weather,Today The storm always is changing. immediately.,oke ifufe na-agbanwe.
business,Mary sold the book.,Mary rere akwụkwọ.
business,Now Mary sold always the book. carefully.,Mary rere akwụkwọ.
education,David studies in the library.,David na-amụ na ọba akwụkwọ.
education,David studies in the library. again.,David na-amụ na ọba akwụkwọ.
agriculture,cassava grows well.,akpụ na-eto nke ọma.
agriculture,Kindly cassava sometimes grows well. carefully.,akpụ na-eto nke ọma.
food,Please rice often tastes good. today.,osikapa na-atọ ụtọ.
weather,Chioma likes the cloud.,Chioma hụrụ igwe ojii n'anya.
weather,Kindly Chioma sometimes likes the cloud. carefully.,Chioma hụrụ igwe ojii n'anya.
general,Chinedu has a table.,Chinedu nwere tebụl.
general,Now Chinedu really has a table. today.,Chinedu nwere tebụl.
