domain,english,igbo
general,Good morning.,Ụtụtụ ọma.
general,Good afternoon.,Ehihie ọma.
general,Good evening.,Mgbede ọma.
general,Good night.,Ka chi fo.
general,How are you?,Kedu ka ị mere?
general,I am fine.,Adị m mma.
general,I am very well.,Adị m ezigbo mma.
general,Thank you.,Daalụ.
general,Thank you very much.,Daalụ nke ukwuu.
general,You are welcome.,Nnọọ.
general,Please come in.,Biko bata.
general,Please sit down.,Biko nọdụ ala.
general,Please wait.,Biko chere.
general,Please speak slowly.,Biko kwuo nwayọ.
general,Please listen to me.,Biko gee m ntị.
general,What is your name?,Gịnị bụ aha gị?
general,My name is David.,Aha m bụ David.
general,What is your surname?,Gịnị bụ aha nna gị?
general,Where are you from?,Ebee ka i si?
general,I am from Nigeria.,Esi m Naịjirịa.
general,I live in Enugu.,Ana m ebi na Enugu.
general,Where do you live?,Ebee ka ị na-ebi?
general,I am a student.,Abụ m nwa akwụkwọ.
general,She is a teacher.,Ọ bụ onye nkuzi.
general,He is my friend.,Ọ bụ enyi m.
general,She is my sister.,Ọ bụ nwanne m nwanyị.
general,He is my brother.,Ọ bụ nwanne m nwoke.
general,This is my house.,Nke a bụ ụlọ m.
general,This is my family.,Nke a bụ ezinụlọ m.
general,I am going home.,Ana m ala.
general,I am going to school.,Ana m aga ụlọ akwụkwọ.
general,Where are you going?,Ebee ka ị na-aga?
general,I am going to the market.,Ana m aga ahịa.
general,I am coming back.,Ana m alọghachi.
general,I am coming tomorrow.,Ana m abịa echi.
general,I will see you tomorrow.,Aga m ahụ gị echi.
general,See you later.,Ka anyị hụ ma emechaa.
general,See you tomorrow.,Ka anyị hụ echi.
general,What are you doing?,Gịnị ka ị na-eme?
general,I am learning English.,Ana m amụ Bekee.
general,I speak Igbo.,Ana m asụ Igbo.
general,I understand Igbo.,Aghọtara m Igbo.
general,I do not understand.,Aghọtaghị m.
general,Please repeat that.,Biko kwughachi nke ahụ.
general,What did you say?,Gịnị ka ị kwuru?
general,Please explain it to me.,Biko kọwaara m ya.
general,I know.,Ama m.
general,I do not know.,Amaghị m.
general,I remember.,Echetara m.
general,I forgot.,Echefuru m.
general,That is correct.,Nke ahụ bụ eziokwu.
general,That is not correct.,Nke ahụ abụghị eziokwu.
general,Yes.,Ee.
general,No.,Mba.
general,Maybe.,Ikekwe.
general,Of course.,N'ezie.
general,Really?,N'ezie?
